,team,elo,from,to,league
0,Man City,2012.76818848,2021-05-30,2021-08-15,ENG-Premier League
1,Liverpool,1940.19763184,2021-05-27,2021-08-14,ENG-Premier League
2,Man United,1925.87194824,2021-05-27,2021-08-14,ENG-Premier League
3,Chelsea,1923.20202637,2021-05-30,2021-08-14,ENG-Premier League
4,Arsenal,1866.67456055,2021-05-27,2021-08-13,ENG-Premier League
5,Tottenham,1831.75012207,2021-05-27,2021-08-15,ENG-Premier League
6,West Ham,1810.99633789,2021-07-22,2021-08-15,ENG-Premier League
7,Leicester,1801.89501953,2021-07-23,2021-08-14,ENG-Premier League
8,Leeds,1783.74121094,2021-05-27,2021-08-14,ENG-Premier League
9,Everton,1771.19372559,2021-05-27,2021-08-14,ENG-Premier League
10,Aston Villa,1747.11230469,2021-08-09,2021-08-14,ENG-Premier League
11,Wolves,1738.54443359,2021-08-08,2021-08-14,ENG-Premier League
12,Newcastle,1724.89587402,2021-08-05,2021-08-14,ENG-Premier League
13,Brighton,1720.88342285,2021-08-07,2021-08-14,ENG-Premier League
14,Burnley,1709.37329102,2021-08-11,2021-08-13,ENG-Premier League
15,Southampton,1700.75109863,2021-08-06,2021-08-14,ENG-Premier League
16,Crystal Palace,1693.30944824,2021-08-08,2021-08-14,ENG-Premier League
17,Watford,1673.33557129,2021-08-11,2021-08-13,ENG-Premier League
18,Brentford,1671.97888184,2021-08-11,2021-08-13,ENG-Premier League
19,Norwich,1655.1998291,2021-08-13,2021-08-14,ENG-Premier League
20,Man City,2012.76818848,2021-05-30,2021-08-15,ENG-Premier League
21,Liverpool,1940.19763184,2021-05-27,2021-08-14,ENG-Premier League
22,Man United,1925.87194824,2021-05-27,2021-08-14,ENG-Premier League
23,Chelsea,1923.20202637,2021-05-30,2021-08-14,ENG-Premier League
24,Arsenal,1849.2286377,2021-08-14,2021-08-14,ENG-Premier League
25,Tottenham,1831.75012207,2021-05-27,2021-08-15,ENG-Premier League
26,West Ham,1810.99633789,2021-07-22,2021-08-15,ENG-Premier League
27,Leicester,1801.89501953,2021-07-23,2021-08-14,ENG-Premier League
28,Leeds,1783.74121094,2021-05-27,2021-08-14,ENG-Premier League
29,Everton,1771.19372559,2021-05-27,2021-08-14,ENG-Premier League
30,Aston Villa,1747.11230469,2021-08-09,2021-08-14,ENG-Premier League
31,Wolves,1738.54443359,2021-08-08,2021-08-14,ENG-Premier League
32,Newcastle,1724.89587402,2021-08-05,2021-08-14,ENG-Premier League
33,Brighton,1720.88342285,2021-08-07,2021-08-14,ENG-Premier League
34,Burnley,1709.37329102,2021-08-14,2021-08-14,ENG-Premier League
35,Southampton,1700.75109863,2021-08-06,2021-08-14,ENG-Premier League
36,Crystal Palace,1693.30944824,2021-08-08,2021-08-14,ENG-Premier League
37,Brentford,1689.42480469,2021-08-14,2021-08-14,ENG-Premier League
38,Watford,1673.33557129,2021-08-14,2021-08-14,ENG-Premier League
39,Norwich,1655.1998291,2021-08-13,2021-08-14,ENG-Premier League
40,Man City,2012.76818848,2021-05-30,2021-08-15,ENG-Premier League
41,Liverpool,1944.61352539,2021-08-15,2021-08-19,ENG-Premier League
42,Man United,1934.08056641,2021-08-15,2021-08-19,ENG-Premier League
43,Chelsea,1927.90222168,2021-08-15,2021-08-19,ENG-Premier League
44,Arsenal,1849.2286377,2021-08-15,2021-08-15,ENG-Premier League
45,Tottenham,1831.75012207,2021-05-27,2021-08-15,ENG-Premier League
